,DateTime,ID,Length,Width,Height,Equipment_ID,FSALDU,Service,Barcode_Type,FSA,Destination,FeedDate,FeedTime,Maxlength,Hour,Volume,Size,Shift,Fine_Dest
52,2022/08/04 7:49,SYN126020220804003687,0,0,0,1260,,,SYN,,,2022/08/04,7:49:44,0,7,0,,2,
53,2022/08/04 7:49,SYN126020220804003688,465,460,94,1260,,,SYN,,,2022/08/04,7:49:48,18.30708661,7,1227,2,2,
54,2022/08/04 7:49,SYN126020220804003689,300,285,38,1260,,,SYN,,,2022/08/04,7:49:49,11.81102362,7,198,1,2,
55,2022/08/04 7:50,5091VJE020201725614362470000008,1895,275,84,1260,V0J2E0,1,NGB,V0J,Vancouver,2022/08/04,7:50:10,74.60629921,7,2671,4,2,Vancouver XP
56,2022/08/04 7:50,SYN126020220804003690,340,215,28,1260,,,SYN,,,2022/08/04,7:50:15,13.38582677,7,125,2,2,
57,2022/08/04 7:50,SYN126020220804003691,1875,235,84,1260,,,SYN,,,2022/08/04,7:50:26,73.81889764,7,2259,4,2,
58,2022/08/04 7:50,5092TMC910201725614362670400008,1350,140,134,1260,T9M1C0,2,NGB,T9M,Edm,2022/08/04,7:50:37,53.1496063,7,1545,4,2,Edmonton EP/RG
59,2022/08/04 7:50,509FNCZ322010240184195903300001,560,495,234,1260,N3C2Z2,F,NGB,N3C,Kitchener City,2022/08/04,7:50:40,22.04724409,7,3958,2,2,Kitchener City
60,2022/08/04 7:50,SYN126020220804003692,0,0,0,1260,,,SYN,,,2022/08/04,7:50:44,0,7,0,,2,
61,2022/08/04 7:50,SYN126020220804003693,0,0,0,1260,,,SYN,,,2022/08/04,7:50:48,0,7,0,,2,
62,2022/08/04 7:51,5092VBP020201725614362050400000,1295,230,252,1260,V0B2P0,2,NGB,V0B,Vancouver,2022/08/04,7:51:03,50.98425197,7,4580,4,2,Vancouver EP/RG
63,2022/08/04 7:51,5091XAG113201725614362714500000,1615,120,98,1260,X1A1G3,1,NGB,X1A,Edm,2022/08/04,7:51:15,63.58267717,7,1159,4,2,Edmonton XP
64,2022/08/04 7:51,5091MKC213185882331670049700000,725,720,174,1260,M2K1C3,1,NGB,M2K,YDC,2022/08/04,7:51:18,28.54330709,7,5543,3,2,YDC
65,2022/08/04 7:51,5091KVH112010538587240503500000,390,390,84,1260,K1V1H2,1,NGB,K1V,Ottawa,2022/08/04,7:51:24,15.35433071,7,780,2,2,Ottawa
66,2022/08/04 7:51,SYN126020220804003694,1080,655,138,1260,,,SYN,,,2022/08/04,7:51:37,42.51968504,7,5957,4,2,
67,2022/08/04 7:51,5093NGG122966943483637233600000,665,280,506,1260,N1G2G2,3,NGB,N1G,Kitchener City,2022/08/04,7:51:40,26.18110236,7,5749,3,2,Kitchener City
68,2022/08/04 7:51,5092NGL020201725614362603200000,1080,655,140,1260,N0G2L0,2,NGB,N0G,Kitchener DCF,2022/08/04,7:51:52,42.51968504,7,6044,4,2,Kitchener DCF
69,2022/08/04 7:52,SYN126020220804003695,1350,140,136,1260,,,SYN,,,2022/08/04,7:52:00,53.1496063,7,1569,4,2,
70,2022/08/04 7:52,SYN126020220804003696,665,515,274,1260,,,SYN,,,2022/08/04,7:52:04,26.18110236,7,5726,3,2,
71,2022/08/04 7:52,5091LBW539185882331669549600000,745,725,176,1260,L5B3W9,1,NGB,L5B,WPDH,2022/08/04,7:52:09,29.33070866,7,5801,3,2,WPDH
72,2022/08/04 7:52,5092NCA225201725614361847100000,1555,470,72,1260,N2C2A5,2,NGB,N2C,Kitchener City,2022/08/04,7:52:20,61.22047244,7,3211,4,2,Kitchener City
73,2022/08/04 7:52,5091TPC108201725614362270600000,1120,410,114,1260,T1P0C8,1,NGB,T1P,Calg,2022/08/04,7:52:29,44.09448819,7,3195,4,2,Calgary XP
74,2022/08/04 7:52,5092PMN020201725614360541900000,970,745,112,1260,P0M2N0,2,NGB,P0M,Sudbury,2022/08/04,7:52:34,38.18897638,7,4939,4,2,Sudbury
75,2022/08/04 7:52,5092LXJ337201725614362577600000,1090,655,132,1260,L3X3J7,2,NGB,L3X,Newmarket City,2022/08/04,7:52:48,42.91338583,7,5751,4,2,Newmarket City
76,2022/08/04 7:52,5091TLA010201725614362057300000,865,515,118,1260,T0L1A0,1,NGB,T0L,Calg,2022/08/04,7:52:57,34.05511811,7,3208,3,2,Calgary XP
